State,Year,Month,TelehealthType,ServiceType,ServiceCount,RatePer1000Beneficiaries,DataQuality
Alabama,2018,201801,Live audio/video,All,6905.00,5.6,
Alabama,2018,201801,Other telehealth,All,0.00,0,
Alabama,2018,201801,Remote patient monitoring,All,0.00,0,
Alabama,2018,201801,Store and forward,All,0.00,0,
Alabama,2018,201802,Live audio/video,All,4821.00,3.9,
Alabama,2018,201802,Other telehealth,All,0.00,0,
Alabama,2018,201802,Remote patient monitoring,All,0.00,0,
Alabama,2018,201802,Store and forward,All,0.00,0,
Alabama,2018,201803,Live audio/video,All,2269.00,1.8,
Alabama,2018,201803,Other telehealth,All,0.00,0,
Alabama,2018,201803,Remote patient monitoring,All,0.00,DS,
Alabama,2018,201803,Store and forward,All,0.00,0,
Alabama,2018,201804,Live audio/video,All,2290.00,1.8,
Alabama,2018,201804,Other telehealth,All,0.00,0,
Alabama,2018,201804,Remote patient monitoring,All,0.00,0,
Alabama,2018,201804,Store and forward,All,0.00,0,
Alabama,2018,201805,Live audio/video,All,2380.00,1.9,
Alabama,2018,201805,Other telehealth,All,0.00,0,
Alabama,2018,201805,Remote patient monitoring,All,0.00,0,
Alabama,2018,201805,Store and forward,All,0.00,0,
Alabama,2018,201806,Live audio/video,All,2044.00,1.6,
Alabama,2018,201806,Other telehealth,All,0.00,0,
Alabama,2018,201806,Remote patient monitoring,All,0.00,0,
Alabama,2018,201806,Store and forward,All,0.00,0,
Alabama,2018,201807,Live audio/video,All,2113.00,1.7,
Alabama,2018,201807,Other telehealth,All,0.00,0,
Alabama,2018,201807,Remote patient monitoring,All,0.00,DS,
Alabama,2018,201807,Store and forward,All,0.00,0,
Alabama,2018,201808,Live audio/video,All,2420.00,1.9,
Alabama,2018,201808,Other telehealth,All,0.00,0,
Alabama,2018,201808,Remote patient monitoring,All,0.00,0,
Alabama,2018,201808,Store and forward,All,0.00,0,
Alabama,2018,201809,Live audio/video,All,2035.00,1.6,
Alabama,2018,201809,Other telehealth,All,0.00,0,
Alabama,2018,201809,Remote patient monitoring,All,0.00,0,
Alabama,2018,201809,Store and forward,All,0.00,0,
Alabama,2018,201810,Live audio/video,All,2309.00,1.8,
Alabama,2018,201810,Other telehealth,All,0.00,0,
Alabama,2018,201810,Remote patient monitoring,All,0.00,DS,
Alabama,2018,201810,Store and forward,All,0.00,DS,
Alabama,2018,201811,Live audio/video,All,2200.00,1.7,
Alabama,2018,201811,Other telehealth,All,0.00,0,
Alabama,2018,201811,Remote patient monitoring,All,0.00,0,
Alabama,2018,201811,Store and forward,All,0.00,0,
Alabama,2018,201812,Live audio/video,All,2051.00,1.6,
Alabama,2018,201812,Other telehealth,All,0.00,0,
Alabama,2018,201812,Remote patient monitoring,All,0.00,DS,
Alabama,2018,201812,Store and forward,All,0.00,0,
Alabama,2019,201901,Live audio/video,All,2500.00,1.9,
Alabama,2019,201901,Other telehealth,All,0.00,0,
Alabama,2019,201901,Remote patient monitoring,All,0.00,DS,
Alabama,2019,201901,Store and forward,All,0.00,0,
Alabama,2019,201902,Live audio/video,All,2255.00,1.7,
