,gini,month,year,state,specialty
0,0.4575621780640582,-23,2017,AL,All
1,0.44515651446959614,-22,2017,AL,All
2,0.4623612539191414,-21,2017,AL,All
3,0.46834668995551154,-20,2017,AL,All
4,0.4592696110315653,-19,2017,AL,All
5,0.47145975311442456,-18,2017,AL,All
6,0.4730114826909778,-17,2017,AL,All
7,0.4578794043836234,-16,2017,AL,All
8,0.45588220999533213,-15,2017,AL,All
9,0.4546753163330606,-14,2017,AL,All
10,0.453598885704947,-13,2017,AL,All
11,0.46799236010040246,-12,2017,AL,All
0,0.3266718435779332,-23,2017,AL,Emergency Medicine
1,0.2707783101911039,-22,2017,AL,Emergency Medicine
2,0.3242837496696762,-21,2017,AL,Emergency Medicine
3,0.38701531912779386,-20,2017,AL,Emergency Medicine
4,0.27936951756737827,-19,2017,AL,Emergency Medicine
5,0.36631455420281234,-18,2017,AL,Emergency Medicine
6,0.3805106066582503,-17,2017,AL,Emergency Medicine
7,0.34009447537622894,-16,2017,AL,Emergency Medicine
8,0.3312242282982214,-15,2017,AL,Emergency Medicine
9,0.331133447335924,-14,2017,AL,Emergency Medicine
10,0.32593609956074265,-13,2017,AL,Emergency Medicine
11,0.37564953227816533,-12,2017,AL,Emergency Medicine
0,0.442310262817428,-23,2017,AL,Anesthesiology
1,0.4763076158669798,-22,2017,AL,Anesthesiology
2,0.47478930602123715,-21,2017,AL,Anesthesiology
3,0.4767122506023529,-20,2017,AL,Anesthesiology
4,0.45973417333303435,-19,2017,AL,Anesthesiology
5,0.500080069807887,-18,2017,AL,Anesthesiology
6,0.5029376699010146,-17,2017,AL,Anesthesiology
7,0.51459874952826,-16,2017,AL,Anesthesiology
8,0.4903406438493295,-15,2017,AL,Anesthesiology
9,0.477904327012041,-14,2017,AL,Anesthesiology
10,0.4742873887334125,-13,2017,AL,Anesthesiology
11,0.5026697850445936,-12,2017,AL,Anesthesiology
0,0.5844518857947536,-23,2017,AL,Cardiology
1,0.5776605730639568,-22,2017,AL,Cardiology
2,0.5867410822470319,-21,2017,AL,Cardiology
3,0.5699103635097297,-20,2017,AL,Cardiology
4,0.5561112053627013,-19,2017,AL,Cardiology
5,0.5581425240536004,-18,2017,AL,Cardiology
6,0.5676421415480868,-17,2017,AL,Cardiology
7,0.5682180245462671,-16,2017,AL,Cardiology
8,0.5951550648995034,-15,2017,AL,Cardiology
9,0.5784002109362398,-14,2017,AL,Cardiology
10,0.5876555444959903,-13,2017,AL,Cardiology
11,0.5978744395464989,-12,2017,AL,Cardiology
0,0.45172587667056874,-11,2018,AL,All
1,0.4371993049691725,-10,2018,AL,All
2,0.4531812950014886,-9,2018,AL,All
3,0.45075080786048305,-8,2018,AL,All
4,0.4568001577942504,-7,2018,AL,All
5,0.4695430296338754,-6,2018,AL,All
6,0.4659473276763969,-5,2018,AL,All
7,0.4482069904410737,-4,2018,AL,All
8,0.44631488128952523,-3,2018,AL,All
9,0.4446131384146974,-2,2018,AL,All
