,gini,month,year,state,specialty
0,0.01410123154239562,-12,2017,AL,All
1,0.015203691272875353,-13,2017,AL,All
2,0.013951849069892552,-14,2017,AL,All
3,0.013307576977782398,-15,2017,AL,All
4,0.013303695663494763,-16,2017,AL,All
5,0.014317698321140826,-17,2017,AL,All
6,0.013298275686880467,-18,2017,AL,All
7,0.014249026050489166,-19,2017,AL,All
8,0.012956517329141826,-20,2017,AL,All
9,0.01423533518230069,-21,2017,AL,All
10,0.015169665257814158,-22,2017,AL,All
11,0.015510937953181925,-23,2017,AL,All
0,0.013132484096064267,-12,2017,AL,Emergency Medicine
1,0.011626090172871528,-13,2017,AL,Emergency Medicine
2,0.013288387711099858,-14,2017,AL,Emergency Medicine
3,0.01258877322661689,-15,2017,AL,Emergency Medicine
4,0.011163991755665403,-16,2017,AL,Emergency Medicine
5,0.011303288963051994,-17,2017,AL,Emergency Medicine
6,0.01265407341589797,-18,2017,AL,Emergency Medicine
7,0.01798873248591515,-19,2017,AL,Emergency Medicine
8,0.012068387755144627,-20,2017,AL,Emergency Medicine
9,0.012215566036278047,-21,2017,AL,Emergency Medicine
10,0.01697896604575333,-22,2017,AL,Emergency Medicine
11,0.02008839571991272,-23,2017,AL,Emergency Medicine
0,0.021697595652827584,-12,2017,AL,Anesthesiology
1,0.01100651957289367,-13,2017,AL,Anesthesiology
2,0.010575711760785422,-14,2017,AL,Anesthesiology
3,0.012202458927328186,-15,2017,AL,Anesthesiology
4,0.010963374512352964,-16,2017,AL,Anesthesiology
5,0.01057094450714724,-17,2017,AL,Anesthesiology
6,0.0098393956345455,-18,2017,AL,Anesthesiology
7,0.010954477619668612,-19,2017,AL,Anesthesiology
8,0.018617072476388774,-20,2017,AL,Anesthesiology
9,0.01264555061825956,-21,2017,AL,Anesthesiology
10,0.01037796282455361,-22,2017,AL,Anesthesiology
11,0.010406161043574391,-23,2017,AL,Anesthesiology
0,0.02490576788400012,-12,2017,AL,Cardiology
1,0.03033995335942452,-13,2017,AL,Cardiology
2,0.01416131686744826,-14,2017,AL,Cardiology
3,0.01364803018001337,-15,2017,AL,Cardiology
4,0.012939148243542364,-16,2017,AL,Cardiology
5,0.01600499184691162,-17,2017,AL,Cardiology
6,0.013107452067022018,-18,2017,AL,Cardiology
7,0.01393841585509703,-19,2017,AL,Cardiology
8,0.011699231745668115,-20,2017,AL,Cardiology
9,0.011917144291607285,-21,2017,AL,Cardiology
10,0.011871865077602406,-22,2017,AL,Cardiology
11,0.013268789780320978,-23,2017,AL,Cardiology
0,0.016183020272632964,-1,2018,AL,All
1,0.016814882753249494,-10,2018,AL,All
2,0.014563836514747797,-11,2018,AL,All
3,0.017047794870338695,-2,2018,AL,All
4,0.016777254374220396,-3,2018,AL,All
5,0.01638883178370043,-4,2018,AL,All
6,0.016516048818641105,-5,2018,AL,All
7,0.016645556216415613,-6,2018,AL,All
8,0.01616046134125082,-7,2018,AL,All
9,0.018409549559732064,-8,2018,AL,All
10,0.014053900160965749,-9,2018,AL,All
11,0.015859281325646513,0,2018,AL,All
0,0.016631816726534354,-1,2018,AL,Emergency Medicine
1,0.01223220674333192,-10,2018,AL,Emergency Medicine
2,0.012308834189610929,-11,2018,AL,Emergency Medicine
3,0.019146796693231605,-2,2018,AL,Emergency Medicine
4,0.029002609724288697,-3,2018,AL,Emergency Medicine
5,0.0238033013190605,-4,2018,AL,Emergency Medicine
6,0.025045468014973205,-5,2018,AL,Emergency Medicine
7,0.015198741935272264,-6,2018,AL,Emergency Medicine
8,0.011704392478377068,-7,2018,AL,Emergency Medicine
9,0.02656719180186151,-8,2018,AL,Emergency Medicine
10,0.011701044223743073,-9,2018,AL,Emergency Medicine
11,0.02168404869314733,0,2018,AL,Emergency Medicine
0,0.014134366937810783,-1,2018,AL,Anesthesiology
1,0.010991323280620913,-10,2018,AL,Anesthesiology
2,0.011954234894434368,-11,2018,AL,Anesthesiology
3,0.010897233283817087,-2,2018,AL,Anesthesiology
4,0.010615714853396963,-3,2018,AL,Anesthesiology
5,0.01020013845637413,-4,2018,AL,Anesthesiology
6,0.009928098642516425,-5,2018,AL,Anesthesiology
7,0.010372281277332918,-6,2018,AL,Anesthesiology
8,0.01005340572573854,-7,2018,AL,Anesthesiology
9,0.010586960637069653,-8,2018,AL,Anesthesiology
10,0.01428088319325449,-9,2018,AL,Anesthesiology
11,0.011198096078304909,0,2018,AL,Anesthesiology
0,0.019833413627411645,-1,2018,AL,Cardiology
1,0.02511683038392698,-10,2018,AL,Cardiology
2,0.025324671651782094,-11,2018,AL,Cardiology
3,0.01826743968831146,-2,2018,AL,Cardiology
4,0.01642299943231096,-3,2018,AL,Cardiology
5,0.013767377115221247,-4,2018,AL,Cardiology
6,0.014933318343257396,-5,2018,AL,Cardiology
7,0.012890371560502545,-6,2018,AL,Cardiology
8,0.014326227696838667,-7,2018,AL,Cardiology
9,0.026816684498940813,-8,2018,AL,Cardiology
10,0.014151085616194381,-9,2018,AL,Cardiology
11,0.014467934105384606,0,2018,AL,Cardiology
0,0.016398294266895208,1,2019,AL,All
1,0.014962919712477984,10,2019,AL,All
2,0.014198289280466958,11,2019,AL,All
3,0.011866231882357803,12,2019,AL,All
4,0.009132394045411996,2,2019,AL,All
5,0.0077827400254939505,3,2019,AL,All
6,0.01305921889815942,4,2019,AL,All
7,0.01356518989181621,5,2019,AL,All
8,0.012900708112809522,6,2019,AL,All
9,0.013258096258733865,7,2019,AL,All
10,0.012798203493647131,8,2019,AL,All
11,0.012076230161214951,9,2019,AL,All
0,0.020732207933576996,1,2019,AL,Emergency Medicine
1,0.026996553474890383,10,2019,AL,Emergency Medicine
2,0.019579368776531325,11,2019,AL,Emergency Medicine
3,0.019499412383130243,12,2019,AL,Emergency Medicine
4,0.03102564920157258,2,2019,AL,Emergency Medicine
5,0.023182964598848388,3,2019,AL,Emergency Medicine
6,0.031189754187562424,4,2019,AL,Emergency Medicine
7,0.022585630619252672,5,2019,AL,Emergency Medicine
8,0.02371244895786284,6,2019,AL,Emergency Medicine
9,0.034731196144531906,7,2019,AL,Emergency Medicine
10,0.03302913845242317,8,2019,AL,Emergency Medicine
11,0.026953373270086622,9,2019,AL,Emergency Medicine
0,0.011212954562167532,1,2019,AL,Anesthesiology
1,0.011835958868816387,10,2019,AL,Anesthesiology
2,0.011508501239581359,11,2019,AL,Anesthesiology
3,0.011551747674843016,12,2019,AL,Anesthesiology
4,0.01228274855421474,2,2019,AL,Anesthesiology
5,0.01211515210736347,3,2019,AL,Anesthesiology
6,0.011876499295488507,4,2019,AL,Anesthesiology
7,0.011135991128028544,5,2019,AL,Anesthesiology
8,0.011453871829786855,6,2019,AL,Anesthesiology
9,0.011614236353243435,7,2019,AL,Anesthesiology
