,gini,month,year,state,specialty
0,0.029944647175355943,-12,2017,AL,All
1,0.03027693984047586,-13,2017,AL,All
2,0.030347540941211282,-14,2017,AL,All
3,0.030363405715851055,-15,2017,AL,All
4,0.029433476439300943,-16,2017,AL,All
5,0.029801287548589794,-17,2017,AL,All
6,0.0297761160582668,-18,2017,AL,All
7,0.029592014337456396,-19,2017,AL,All
8,0.0288264933138217,-20,2017,AL,All
9,0.02975530267385007,-21,2017,AL,All
10,0.029025470466223835,-22,2017,AL,All
11,0.029676717798507002,-23,2017,AL,All
0,0.03569654649001164,-12,2017,AL,Emergency Medicine
1,0.03433375979491682,-13,2017,AL,Emergency Medicine
2,0.03914314192520463,-14,2017,AL,Emergency Medicine
3,0.03871965378589359,-15,2017,AL,Emergency Medicine
4,0.03739567670729027,-16,2017,AL,Emergency Medicine
5,0.03829212718889885,-17,2017,AL,Emergency Medicine
6,0.03416994890413794,-18,2017,AL,Emergency Medicine
7,0.037485733831251644,-19,2017,AL,Emergency Medicine
8,0.03147331284309485,-20,2017,AL,Emergency Medicine
9,0.03575816413175792,-21,2017,AL,Emergency Medicine
10,0.03212235197287572,-22,2017,AL,Emergency Medicine
11,0.03627300212305218,-23,2017,AL,Emergency Medicine
0,0.03323109790164758,-12,2017,AL,Anesthesiology
1,0.03489204043827465,-13,2017,AL,Anesthesiology
2,0.030274021519707928,-14,2017,AL,Anesthesiology
3,0.03649288845483212,-15,2017,AL,Anesthesiology
4,0.03161179003795944,-16,2017,AL,Anesthesiology
5,0.03313780236395947,-17,2017,AL,Anesthesiology
6,0.030793146296042462,-18,2017,AL,Anesthesiology
7,0.032968687022597476,-19,2017,AL,Anesthesiology
8,0.03250924437469038,-20,2017,AL,Anesthesiology
9,0.034485823334810206,-21,2017,AL,Anesthesiology
10,0.034597127424626284,-22,2017,AL,Anesthesiology
11,0.03755322222321866,-23,2017,AL,Anesthesiology
0,0.0519142392596581,-12,2017,AL,Cardiology
1,0.052620180557027774,-13,2017,AL,Cardiology
2,0.04719320521693138,-14,2017,AL,Cardiology
3,0.046212756839506874,-15,2017,AL,Cardiology
4,0.04476783186372657,-16,2017,AL,Cardiology
5,0.04427190790744939,-17,2017,AL,Cardiology
6,0.04040397738713908,-18,2017,AL,Cardiology
7,0.04434654881513822,-19,2017,AL,Cardiology
8,0.03784703234857356,-20,2017,AL,Cardiology
9,0.03845191847062268,-21,2017,AL,Cardiology
10,0.040232828868969395,-22,2017,AL,Cardiology
11,0.04267474100678703,-23,2017,AL,Cardiology
0,0.030583626702107347,-1,2018,AL,All
1,0.0301662862953066,-10,2018,AL,All
2,0.030518911358692336,-11,2018,AL,All
3,0.030565700102376914,-2,2018,AL,All
4,0.030301775669107633,-3,2018,AL,All
5,0.030022240165814784,-4,2018,AL,All
6,0.030529813327278332,-5,2018,AL,All
7,0.02945691592185362,-6,2018,AL,All
8,0.029994589216736922,-7,2018,AL,All
9,0.030313426990569825,-8,2018,AL,All
10,0.029847340970136638,-9,2018,AL,All
11,0.03066053422187598,0,2018,AL,All
0,0.03872462872012172,-1,2018,AL,Emergency Medicine
1,0.036181691587089504,-10,2018,AL,Emergency Medicine
2,0.038208387582985504,-11,2018,AL,Emergency Medicine
3,0.036292529968916076,-2,2018,AL,Emergency Medicine
4,0.03955105240802803,-3,2018,AL,Emergency Medicine
5,0.03813885467873912,-4,2018,AL,Emergency Medicine
6,0.04052878077648281,-5,2018,AL,Emergency Medicine
7,0.03664106383899113,-6,2018,AL,Emergency Medicine
8,0.034988720198179335,-7,2018,AL,Emergency Medicine
9,0.03581993803200412,-8,2018,AL,Emergency Medicine
10,0.03703543334837822,-9,2018,AL,Emergency Medicine
11,0.044433255502736246,0,2018,AL,Emergency Medicine
0,0.03354589670586017,-1,2018,AL,Anesthesiology
1,0.032500706534980606,-10,2018,AL,Anesthesiology
2,0.03435387072787266,-11,2018,AL,Anesthesiology
3,0.03450084586432611,-2,2018,AL,Anesthesiology
4,0.03502835962638118,-3,2018,AL,Anesthesiology
5,0.03477619361616058,-4,2018,AL,Anesthesiology
6,0.03404059206477772,-5,2018,AL,Anesthesiology
7,0.032255098260535964,-6,2018,AL,Anesthesiology
8,0.0307556599691845,-7,2018,AL,Anesthesiology
9,0.03355226540103162,-8,2018,AL,Anesthesiology
10,0.03255507238477007,-9,2018,AL,Anesthesiology
11,0.03438133948399291,0,2018,AL,Anesthesiology
0,0.05212601251174254,-1,2018,AL,Cardiology
1,0.05201858795823411,-10,2018,AL,Cardiology
2,0.054492050038212,-11,2018,AL,Cardiology
3,0.04552168998614714,-2,2018,AL,Cardiology
4,0.04983504385648263,-3,2018,AL,Cardiology
5,0.044917431094175675,-4,2018,AL,Cardiology
6,0.04793173436418052,-5,2018,AL,Cardiology
7,0.04482351979961596,-6,2018,AL,Cardiology
8,0.045915919424027396,-7,2018,AL,Cardiology
9,0.04900004055578977,-8,2018,AL,Cardiology
10,0.04413456185282727,-9,2018,AL,Cardiology
11,0.04885709168218322,0,2018,AL,Cardiology
0,0.030947213408863528,1,2019,AL,All
1,0.031778547682923985,10,2019,AL,All
2,0.03245355454447796,11,2019,AL,All
3,0.031852268602193035,12,2019,AL,All
4,0.031176181761878086,2,2019,AL,All
5,0.03024014966071098,3,2019,AL,All
6,0.031055608221566722,4,2019,AL,All
7,0.03069786292506327,5,2019,AL,All
8,0.030837608629263547,6,2019,AL,All
9,0.032188409359773185,7,2019,AL,All
10,0.03114478098426976,8,2019,AL,All
11,0.031142473365062706,9,2019,AL,All
0,0.04564239050798746,1,2019,AL,Emergency Medicine
1,0.04802394100826568,10,2019,AL,Emergency Medicine
2,0.049498338731117975,11,2019,AL,Emergency Medicine
3,0.04479476116320902,12,2019,AL,Emergency Medicine
4,0.046247553007428666,2,2019,AL,Emergency Medicine
5,0.043251216296224304,3,2019,AL,Emergency Medicine
6,0.046874383280054666,4,2019,AL,Emergency Medicine
7,0.03974489608436449,5,2019,AL,Emergency Medicine
8,0.04048639334593196,6,2019,AL,Emergency Medicine
9,0.05017778744529433,7,2019,AL,Emergency Medicine
10,0.05005076238535899,8,2019,AL,Emergency Medicine
11,0.04265842195025282,9,2019,AL,Emergency Medicine
0,0.03516005965993829,1,2019,AL,Anesthesiology
1,0.034728579858081865,10,2019,AL,Anesthesiology
2,0.036637248823336854,11,2019,AL,Anesthesiology
3,0.03501847701532412,12,2019,AL,Anesthesiology
4,0.033908759963255264,2,2019,AL,Anesthesiology
5,0.03315287694638691,3,2019,AL,Anesthesiology
6,0.035036664076028234,4,2019,AL,Anesthesiology
7,0.03437016595599984,5,2019,AL,Anesthesiology
8,0.03516870485198964,6,2019,AL,Anesthesiology
9,0.0356387638419331,7,2019,AL,Anesthesiology
10,0.03348607938856396,8,2019,AL,Anesthesiology
11,0.03535478320777574,9,2019,AL,Anesthesiology
0,0.054019187039149874,1,2019,AL,Cardiology
1,0.05603652231358214,10,2019,AL,Cardiology
2,0.058980014563998706,11,2019,AL,Cardiology
3,0.0513291079431496,12,2019,AL,Cardiology
4,0.05063517360321523,2,2019,AL,Cardiology
5,0.045788474148848346,3,2019,AL,Cardiology
6,0.051407513144917205,4,2019,AL,Cardiology
7,0.04915905234395701,5,2019,AL,Cardiology
8,0.0497813755008083,6,2019,AL,Cardiology
9,0.05520892886468787,7,2019,AL,Cardiology
10,0.055289231066640965,8,2019,AL,Cardiology
11,0.053407964288285426,9,2019,AL,Cardiology
0,0.03206204383700306,13,2020,AL,All
1,0.031940399812653286,14,2020,AL,All
2,0.03179430922839388,15,2020,AL,All
3,0.03152532219037396,16,2020,AL,All
4,0.03082307314424626,17,2020,AL,All
5,0.030496112629572858,18,2020,AL,All
6,0.031052919198523043,19,2020,AL,All
7,0.03064809756342346,20,2020,AL,All
8,0.0307301151446977,21,2020,AL,All
9,0.03028647514432925,22,2020,AL,All
10,0.030867278322196268,23,2020,AL,All
11,0.030791598275302534,24,2020,AL,All
0,0.050294262235638376,13,2020,AL,Emergency Medicine
1,0.05666036712606981,14,2020,AL,Emergency Medicine
2,0.0458983559966204,15,2020,AL,Emergency Medicine
3,0.04089998657337701,16,2020,AL,Emergency Medicine
4,0.04140074978192698,17,2020,AL,Emergency Medicine
5,0.040645738716547974,18,2020,AL,Emergency Medicine
6,0.04727470671232037,19,2020,AL,Emergency Medicine
7,0.04365228043738112,20,2020,AL,Emergency Medicine
8,0.0424727146509547,21,2020,AL,Emergency Medicine
9,0.03812007222544889,22,2020,AL,Emergency Medicine
10,0.038144063681915585,23,2020,AL,Emergency Medicine
11,0.039570646945401244,24,2020,AL,Emergency Medicine
0,0.036727670444846816,13,2020,AL,Anesthesiology
1,0.03487164564626655,14,2020,AL,Anesthesiology
2,0.03575357082826047,15,2020,AL,Anesthesiology
3,0.03561011414460091,16,2020,AL,Anesthesiology
4,0.03405722119637722,17,2020,AL,Anesthesiology
5,0.035376245110127935,18,2020,AL,Anesthesiology
6,0.03627570720959572,19,2020,AL,Anesthesiology
7,0.03293041019476062,20,2020,AL,Anesthesiology
8,0.03329279868315316,21,2020,AL,Anesthesiology
9,0.0325626843818515,22,2020,AL,Anesthesiology
10,0.03524285471368449,23,2020,AL,Anesthesiology
11,0.03654471335825016,24,2020,AL,Anesthesiology
0,0.055067274691031676,13,2020,AL,Cardiology
1,0.052011631516480916,14,2020,AL,Cardiology
2,0.052757284625879586,15,2020,AL,Cardiology
3,0.05421177206616623,16,2020,AL,Cardiology
4,0.04945006123194484,17,2020,AL,Cardiology
5,0.04452658180850444,18,2020,AL,Cardiology
6,0.053367101892080715,19,2020,AL,Cardiology
7,0.05055171907877609,20,2020,AL,Cardiology
8,0.04840354799114632,21,2020,AL,Cardiology
9,0.04497147869163143,22,2020,AL,Cardiology
10,0.05113189115014771,23,2020,AL,Cardiology
11,0.04355441237094926,24,2020,AL,Cardiology
0,0.03028958367786516,25,2021,AL,All
1,0.02921399188860163,26,2021,AL,All
2,0.030887908282674403,27,2021,AL,All
3,0.03043946978385148,28,2021,AL,All
4,0.030625014877442625,29,2021,AL,All
5,0.029652153398578074,30,2021,AL,All
6,0.03054585625497308,31,2021,AL,All
7,0.030304025465016537,32,2021,AL,All
8,0.03026036964471257,33,2021,AL,All
9,0.03056112840622094,34,2021,AL,All
10,0.030721206418638403,35,2021,AL,All
11,0.030970914718093434,36,2021,AL,All
0,0.04001070670590001,25,2021,AL,Emergency Medicine
1,0.03761633876659776,26,2021,AL,Emergency Medicine
2,0.04499280166148534,27,2021,AL,Emergency Medicine
3,0.03982472055062214,28,2021,AL,Emergency Medicine
4,0.037837463202930244,29,2021,AL,Emergency Medicine
5,0.03372172279885488,30,2021,AL,Emergency Medicine
6,0.040249479920775544,31,2021,AL,Emergency Medicine
7,0.04031996117146175,32,2021,AL,Emergency Medicine
8,0.03772019297931861,33,2021,AL,Emergency Medicine
9,0.039276485691660756,34,2021,AL,Emergency Medicine
10,0.04445348006530758,35,2021,AL,Emergency Medicine
11,0.04220741705963271,36,2021,AL,Emergency Medicine
0,0.038482276660706694,25,2021,AL,Anesthesiology
1,0.03519298322858533,26,2021,AL,Anesthesiology
2,0.03771716548699233,27,2021,AL,Anesthesiology
3,0.03503893438581995,28,2021,AL,Anesthesiology
4,0.03412081656245303,29,2021,AL,Anesthesiology
5,0.033330395247187616,30,2021,AL,Anesthesiology
6,0.034735777265211376,31,2021,AL,Anesthesiology
7,0.03533095147203291,32,2021,AL,Anesthesiology
8,0.03771742545121182,33,2021,AL,Anesthesiology
9,0.03481790615266522,34,2021,AL,Anesthesiology
10,0.036030640815213344,35,2021,AL,Anesthesiology
11,0.035469257202713766,36,2021,AL,Anesthesiology
0,0.050228725750828374,25,2021,AL,Cardiology
1,0.04676875813190495,26,2021,AL,Cardiology
2,0.046171866858138344,27,2021,AL,Cardiology
3,0.0511417127774747,28,2021,AL,Cardiology
4,0.05117529152353195,29,2021,AL,Cardiology
5,0.04726649806170846,30,2021,AL,Cardiology
6,0.052987736708167255,31,2021,AL,Cardiology
7,0.04646170333624633,32,2021,AL,Cardiology
8,0.045726429715140515,33,2021,AL,Cardiology
9,0.04708669276755595,34,2021,AL,Cardiology
10,0.05111730325999764,35,2021,AL,Cardiology
11,0.04517647623605814,36,2021,AL,Cardiology
0,0.030399399805266847,37,2022,AL,All
1,0.029995615675738385,38,2022,AL,All
2,0.030595979229278703,39,2022,AL,All
3,0.02994493420638622,40,2022,AL,All
4,0.029290276151149874,41,2022,AL,All
5,0.02933053515637163,42,2022,AL,All
6,0.029355629009911288,43,2022,AL,All
7,0.030028411651693232,44,2022,AL,All
8,0.030360190048591806,45,2022,AL,All
9,0.02997615582143598,46,2022,AL,All
10,0.02976749471382467,47,2022,AL,All
11,0.030358790582345585,48,2022,AL,All
0,0.040327226530860516,37,2022,AL,Emergency Medicine
1,0.04160366293521722,38,2022,AL,Emergency Medicine
2,0.040272159005448116,39,2022,AL,Emergency Medicine
3,0.04390909968771339,40,2022,AL,Emergency Medicine
