,gini,month,year,state,specialty
0,0.10705635069651354,-23,2017,AL,All
1,0.10911659646372118,-22,2017,AL,All
2,0.11206676020753503,-21,2017,AL,All
3,0.1054638279190433,-20,2017,AL,All
4,0.11026465041887423,-19,2017,AL,All
5,0.1028284698579367,-18,2017,AL,All
6,0.09995664168403962,-17,2017,AL,All
7,0.10350515112161707,-16,2017,AL,All
8,0.10560420080696187,-15,2017,AL,All
9,0.11026931598341605,-14,2017,AL,All
10,0.1093836907037351,-13,2017,AL,All
11,0.09862054754646143,-12,2017,AL,All
0,0.21589216565218727,-23,2017,AL,Emergency Medicine
1,0.21030409474102396,-22,2017,AL,Emergency Medicine
2,0.17900853369232905,-21,2017,AL,Emergency Medicine
3,0.20350794903677683,-20,2017,AL,Emergency Medicine
4,0.21507615998175145,-19,2017,AL,Emergency Medicine
5,0.16460491365805696,-18,2017,AL,Emergency Medicine
6,0.16737199622138388,-17,2017,AL,Emergency Medicine
7,0.15895980753090466,-16,2017,AL,Emergency Medicine
8,0.14448412394733234,-15,2017,AL,Emergency Medicine
9,0.16948484004774944,-14,2017,AL,Emergency Medicine
10,0.16167564405057278,-13,2017,AL,Emergency Medicine
11,0.13601074450413908,-12,2017,AL,Emergency Medicine
0,0.13459356474020878,-23,2017,AL,Anesthesiology
1,0.140180951724441,-22,2017,AL,Anesthesiology
2,0.13961871604745324,-21,2017,AL,Anesthesiology
3,0.1229976486436124,-20,2017,AL,Anesthesiology
4,0.1463365844040717,-19,2017,AL,Anesthesiology
5,0.1408103980115556,-18,2017,AL,Anesthesiology
6,0.1313793940559067,-17,2017,AL,Anesthesiology
7,0.16512921611237752,-16,2017,AL,Anesthesiology
8,0.16562599155641866,-15,2017,AL,Anesthesiology
9,0.17357575899571254,-14,2017,AL,Anesthesiology
10,0.13779873845633905,-13,2017,AL,Anesthesiology
11,0.10662138858263792,-12,2017,AL,Anesthesiology
0,0.10040298792500857,-23,2017,AL,Cardiology
1,0.14024175010177187,-22,2017,AL,Cardiology
2,0.12382825575819556,-21,2017,AL,Cardiology
3,0.08004763007381721,-20,2017,AL,Cardiology
4,0.09602146507195741,-19,2017,AL,Cardiology
5,0.11007494164156417,-18,2017,AL,Cardiology
6,0.12314652753425925,-17,2017,AL,Cardiology
7,0.09879145752172269,-16,2017,AL,Cardiology
8,0.07599605931914843,-15,2017,AL,Cardiology
9,0.10787461865173498,-14,2017,AL,Cardiology
10,0.11952616055585608,-13,2017,AL,Cardiology
11,0.10236114614718517,-12,2017,AL,Cardiology
0,0.107200958833915,-11,2018,AL,All
1,0.10378541597073809,-10,2018,AL,All
2,0.10225091264938857,-9,2018,AL,All
3,0.10796925424333104,-8,2018,AL,All
4,0.10539616220957126,-7,2018,AL,All
5,0.1106144082202355,-6,2018,AL,All
